Step  State        Action   Swap
-----------------------------------
0     45_813726             
1     4_5813726    R        
2     4158_3726    U        
3     4158237_6    U        
4     41582376_    L        
5     41582_763    D        
6     4158_2763    R        
7     415_82763    R        
8     _15482763    D        
9     1_5482763    L        
10    15_482763    L        
11    15248_763    U        
12    15248376_    U        
13    1524837_6    R        
14    1524_3786    D        
15    1_2453786    D        
16    12_453786    L        
17    12345_786    U        
18    12345678_    U        
